flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,5-8,7.0,2025-08-18T13:20:00+00:00,2025-08-18T13:20:00+00:00,2025-08-18T13:27:00+00:00,2025-08-18T13:27:00+00:00,2025-08-18T13:27:00+00:00,Yichang,Asia/Shanghai,YIH,ZHYC,,,,2025-08-18T15:15:00+00:00,,2025-08-18T15:02:00+00:00,,,,China Eastern Airlines,MU,CES,9936,MU9936,CES9936,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",12.0,2025-08-18T12:40:00+00:00,2025-08-18T12:40:00+00:00,2025-08-18T12:52:00+00:00,2025-08-18T12:52:00+00:00,2025-08-18T12:52:00+00:00,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-08-18T14:40:00+00:00,,2025-08-18T14:28:00+00:00,,,,Jiangxi Airlines,RY,CJX,6696,RY6696,CJX6696,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",12.0,2025-08-18T12:40:00+00:00,2025-08-18T12:40:00+00:00,2025-08-18T12:52:00+00:00,2025-08-18T12:52:00+00:00,2025-08-18T12:52:00+00:00,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-08-18T14:40:00+00:00,,2025-08-18T14:28:00+00:00,,,,Hebei Airlines,NS,HBH,5096,NS5096,HBH5096,,jiangxi airlines,ry,cjx,6696,ry6696,cjx6696
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",12.0,2025-08-18T12:40:00+00:00,2025-08-18T12:40:00+00:00,2025-08-18T12:52:00+00:00,2025-08-18T12:52:00+00:00,2025-08-18T12:52:00+00:00,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-08-18T14:40:00+00:00,,2025-08-18T14:28:00+00:00,,,,Xiamen Airlines,MF,CXA,2079,MF2079,CXA2079,,jiangxi airlines,ry,cjx,6696,ry6696,cjx6696
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,G4,41.0,2025-08-18T12:20:00+00:00,2025-08-18T12:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2025-08-18T14:50:00+00:00,,,,,,Xiamen Airlines,MF,CXA,8956,MF8956,CXA8956,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,G4,41.0,2025-08-18T12:20:00+00:00,2025-08-18T12:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2025-08-18T14:50:00+00:00,,,,,,Hebei Airlines,NS,HBH,8956,NS8956,HBH8956,,xiamen airlines,mf,cxa,8956,mf8956,cxa8956
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,G4,41.0,2025-08-18T12:20:00+00:00,2025-08-18T12:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2025-08-18T14:50:00+00:00,,,,,,Juneyao Airlines,HO,DKH,7349,HO7349,DKH7349,,xiamen airlines,mf,cxa,8956,mf8956,cxa8956
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,G4,41.0,2025-08-18T12:20:00+00:00,2025-08-18T12:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2025-08-18T14:50:00+00:00,,,,,,Loong Air,GJ,CDC,3982,GJ3982,CDC3982,,xiamen airlines,mf,cxa,8956,mf8956,cxa8956
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,G4,41.0,2025-08-18T12:20:00+00:00,2025-08-18T12:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2025-08-18T14:50:00+00:00,,,,,,Sichuan Airlines,3U,CSC,2780,3U2780,CSC2780,,xiamen airlines,mf,cxa,8956,mf8956,cxa8956
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,G4,41.0,2025-08-18T12:20:00+00:00,2025-08-18T12:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2025-08-18T14:50:00+00:00,,,,,,China Express Air,G5,HXA,9212,G59212,HXA9212,,xiamen airlines,mf,cxa,8956,mf8956,cxa8956
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,G4,41.0,2025-08-18T12:20:00+00:00,2025-08-18T12:20:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,B12,2025-08-18T14:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4579,CZ4579,CSN4579,,xiamen airlines,mf,cxa,8956,mf8956,cxa8956
2025-08-18,cancelled,,,Beihai,Asia/Shanghai,BHY,ZGBH,,2,,2025-08-18T12:15:00+00:00,2025-08-18T12:15:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,16,2025-08-18T16:00:00+00:00,,,,,,Air China LTD,CA,CCA,1912,CA1912,CCA1912,,,,,,,
2025-08-18,cancelled,,,Beihai,Asia/Shanghai,BHY,ZGBH,,2,,2025-08-18T12:15:00+00:00,2025-08-18T12:15:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,2,,16,2025-08-18T16:00:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,1912,ZH1912,CSZ1912,,air china ltd,ca,cca,1912,ca1912,cca1912
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",18.0,2025-08-18T11:45:00+00:00,2025-08-18T11:45:00+00:00,2025-08-18T12:03:00+00:00,2025-08-18T12:03:00+00:00,2025-08-18T12:03:00+00:00,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2025-08-18T13:45:00+00:00,,2025-08-18T13:41:00+00:00,,,,Chengdu Airlines,EU,UEA,2716,EU2716,UEA2716,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",7.0,2025-08-18T10:15:00+00:00,2025-08-18T10:15:00+00:00,2025-08-18T10:21:00+00:00,2025-08-18T10:21:00+00:00,2025-08-18T10:21:00+00:00,Zhengzhou,Asia/Shanghai,CGO,ZHCC,2,,14,2025-08-18T12:45:00+00:00,,2025-08-18T12:33:00+00:00,,,,West Air (China),PN,CHB,6338,PN6338,CHB6338,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",,2025-08-18T09:45:00+00:00,2025-08-18T09:45:00+00:00,2025-08-18T09:41:00+00:00,2025-08-18T09:41:00+00:00,2025-08-18T09:41:00+00:00,Xianyang,Asia/Shanghai,XIY,ZLXY,3,,,2025-08-18T12:20:00+00:00,,2025-08-18T11:58:00+00:00,,,,Air Changan,9H,CGN,8440,9H8440,CGN8440,,,,,,,
2025-08-18,active,,,Beihai,Asia/Shanghai,BHY,ZGBH,,"4,08",,2025-08-18T09:45:00+00:00,2025-08-18T09:45:00+00:00,2025-08-18T09:41:00+00:00,2025-08-18T09:41:00+00:00,2025-08-18T09:41:00+00:00,Xianyang,Asia/Shanghai,XIY,ZLXY,3,,,2025-08-18T12:20:00+00:00,,2025-08-18T11:58:00+00:00,,,,Hainan Airlines,HU,CHH,4626,HU4626,CHH4626,,air changan,9h,cgn,8440,9h8440,cgn8440
2025-08-18,landed,,,Landvetter,Europe/Stockholm,GOT,ESGG,,,7.0,2025-08-18T05:45:00+00:00,2025-08-18T05:45:00+00:00,2025-08-18T05:52:00+00:00,2025-08-18T05:52:00+00:00,2025-08-18T05:52:00+00:00,Halmstad,Europe/Stockholm,HAD,ESMT,,,,2025-08-18T06:12:00+00:00,,,2025-08-18T06:08:00+00:00,2025-08-18T06:08:00+00:00,2025-08-18T06:08:00+00:00,European Flight Service,,EUW,9621,,EUW9621,,,,,,,
2025-08-18,scheduled,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,F34,1.0,2025-08-18T08:15:00+00:00,2025-08-18T08:15:00+00:00,2025-08-18T08:16:00+00:00,2025-08-18T08:16:00+00:00,2025-08-18T08:16:00+00:00,Halmstad,Europe/Stockholm,HAD,ESMT,,,,2025-08-18T09:35:00+00:00,,,,,,Braathens Regional,DC,BRX,2129,DC2129,BRX2129,,,,,,,
2025-08-18,scheduled,,,Tachilek,Asia/Rangoon,THL,VYTL,,,,2025-08-18T17:50:00+00:00,2025-08-18T17:50:00+00:00,,,,Mingaladon,Asia/Rangoon,RGN,VYYY,3,,,2025-08-18T19:30:00+00:00,,,,,,Mann Yadanarpon Airlines,7Y,MYP,677,7Y677,MYP677,,,,,,,
2025-08-18,scheduled,,,Tachilek,Asia/Rangoon,THL,VYTL,,,,2025-08-18T14:55:00+00:00,2025-08-18T14:55:00+00:00,,,,Mandalay International,Asia/Rangoon,MDL,VYMD,,,,2025-08-18T16:05:00+00:00,,,,,,Mann Yadanarpon Airlines,7Y,MYP,676,7Y676,MYP676,,,,,,,
2025-08-18,active,,,Tachilek,Asia/Rangoon,THL,VYTL,,,7.0,2025-08-18T12:25:00+00:00,2025-08-18T12:25:00+00:00,2025-08-18T12:31:00+00:00,2025-08-18T12:31:00+00:00,2025-08-18T12:31:00+00:00,Mandalay International,Asia/Rangoon,MDL,VYMD,,,,2025-08-18T13:40:00+00:00,,2025-08-18T13:40:00+00:00,,,,Myanmar Airways International,8M,MMA,834,8M834,MMA834,,,,,,,
2025-08-18,active,,,Tachilek,Asia/Rangoon,THL,VYTL,,,7.0,2025-08-18T12:25:00+00:00,2025-08-18T12:25:00+00:00,2025-08-18T12:31:00+00:00,2025-08-18T12:31:00+00:00,2025-08-18T12:31:00+00:00,Mandalay International,Asia/Rangoon,MDL,VYMD,,,,2025-08-18T13:40:00+00:00,,2025-08-18T13:40:00+00:00,,,,Air KBZ,K7,KBZ,4834,K74834,KBZ4834,,myanmar airways international,8m,mma,834,8m834,mma834
2025-08-18,active,,,Tachilek,Asia/Rangoon,THL,VYTL,,,10.0,2025-08-18T12:25:00+00:00,2025-08-18T12:25:00+00:00,2025-08-18T12:34:00+00:00,2025-08-18T12:34:00+00:00,2025-08-18T12:34:00+00:00,Heho,Asia/Rangoon,HEH,VYHH,,,,2025-08-18T13:25:00+00:00,11.0,2025-08-18T13:36:00+00:00,,,,Mann Yadanarpon Airlines,7Y,MYP,675,7Y675,MYP675,,,,,,,
2025-08-18,active,,,Tachilek,Asia/Rangoon,THL,VYTL,,,,2025-08-18T11:15:00+00:00,2025-08-18T11:15:00+00:00,,,,Mandalay International,Asia/Rangoon,MDL,VYMD,,,,2025-08-18T12:25:00+00:00,,,,,,Air Thanlwin,ST,RTL,739,ST739,RTL739,,,,,,,
2025-08-18,active,,,Tachilek,Asia/Rangoon,THL,VYTL,,,,2025-08-18T11:15:00+00:00,2025-08-18T11:15:00+00:00,,,,Mandalay International,Asia/Rangoon,MDL,VYMD,,,,2025-08-18T12:25:00+00:00,,,,,,Air Thanlwin,ST,RTL,827,ST827,RTL827,,,,,,,
2025-08-18,active,,,Tachilek,Asia/Rangoon,THL,VYTL,,,,2025-08-18T11:15:00+00:00,2025-08-18T11:15:00+00:00,,,,Mandalay International,Asia/Rangoon,MDL,VYMD,,,,2025-08-18T12:25:00+00:00,,,,,,Western Aircraft,ST,STT,828,ST828,STT828,,air thanlwin,st,rtl,827,st827,rtl827
2025-08-18,active,,,Tachilek,Asia/Rangoon,THL,VYTL,,,,2025-08-18T10:40:00+00:00,2025-08-18T10:40:00+00:00,,,,Heho,Asia/Rangoon,HEH,VYHH,,,,2025-08-18T11:40:00+00:00,,,2025-08-18T10:26:00+00:00,2025-08-18T10:26:00+00:00,2025-08-18T10:26:00+00:00,Mann Yadanarpon Airlines,7Y,MYP,222,7Y222,MYP222,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:05:00+00:00,2025-08-18T15:05:00+00:00,,,,Heathrow,Europe/London,LHR,EGLL,2,,,2025-08-18T16:25:00+00:00,,,,,,SAS,SK,SAS,809,SK809,SAS809,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:05:00+00:00,2025-08-18T15:05:00+00:00,,,,Heathrow,Europe/London,LHR,EGLL,2,,,2025-08-18T16:25:00+00:00,,,,,,Virgin Atlantic,VS,VIR,5938,VS5938,VIR5938,,sas,sk,sas,809,sk809,sas809
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:05:00+00:00,2025-08-18T15:05:00+00:00,,,,Heathrow,Europe/London,LHR,EGLL,2,,,2025-08-18T16:25:00+00:00,,,,,,Vietnam Airlines,VN,HVN,3417,VN3417,HVN3417,,sas,sk,sas,809,sk809,sas809
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:05:00+00:00,2025-08-18T15:05:00+00:00,,,,Sola,Europe/Oslo,SVG,ENZV,,,,2025-08-18T15:55:00+00:00,,,,,,Norwegian,DY,NOZ,536,DY536,NOZ536,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:05:00+00:00,2025-08-18T15:05:00+00:00,,,,Evenes,Europe/Oslo,EVE,ENEV,,,,2025-08-18T16:45:00+00:00,,,,,,Norwegian,DY,NOZ,364,DY364,NOZ364,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Evenes,Europe/Oslo,EVE,ENEV,,,,2025-08-18T16:40:00+00:00,,,,,,SAS,SK,SAS,4094,SK4094,SAS4094,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Evenes,Europe/Oslo,EVE,ENEV,,,,2025-08-18T16:40:00+00:00,,,,,,KLM,KL,KLM,8584,KL8584,KLM8584,,sas,sk,sas,4094,sk4094,sas4094
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Evenes,Europe/Oslo,EVE,ENEV,,,,2025-08-18T16:40:00+00:00,,,,,,Air France,AF,AFR,3871,AF3871,AFR3871,,sas,sk,sas,4094,sk4094,sas4094
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Barajas,Europe/Madrid,MAD,LEMD,4,,,2025-08-18T18:45:00+00:00,,,,,,Iberia,IB,IBE,954,IB954,IBE954,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Barajas,Europe/Madrid,MAD,LEMD,4,,,2025-08-18T18:45:00+00:00,,,,,,Royal Air Maroc,AT,RAM,5489,AT5489,RAM5489,,iberia,ib,ibe,954,ib954,ibe954
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Barajas,Europe/Madrid,MAD,LEMD,4,,,2025-08-18T18:45:00+00:00,,,,,,LATAM Airlines,LA,LAN,1663,LA1663,LAN1663,,iberia,ib,ibe,954,ib954,ibe954
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Barajas,Europe/Madrid,MAD,LEMD,4,,,2025-08-18T18:45:00+00:00,,,,,,Vueling,VY,VLG,5201,VY5201,VLG5201,,iberia,ib,ibe,954,ib954,ibe954
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,2,,,2025-08-18T20:05:00+00:00,,,,,,Norwegian,DY,NOZ,1262,DY1262,NOZ1262,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Arlanda,Europe/Stockholm,ARN,ESSA,5,,,2025-08-18T16:00:00+00:00,,,,,,Norwegian,DY,NOZ,816,DY816,NOZ816,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T15:00:00+00:00,2025-08-18T15:00:00+00:00,,,,Tromso/langnes,Europe/Oslo,TOS,ENTC,,,,2025-08-18T16:55:00+00:00,,,,,,Norwegian,DY,NOZ,378,DY378,NOZ378,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:55:00+00:00,2025-08-18T14:55:00+00:00,,,,Kastrup,Europe/Copenhagen,CPH,EKCH,3,,,2025-08-18T16:05:00+00:00,,,,,,SAS,SK,SAS,1471,SK1471,SAS1471,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:55:00+00:00,2025-08-18T14:55:00+00:00,,,,Kastrup,Europe/Copenhagen,CPH,EKCH,3,,,2025-08-18T16:05:00+00:00,,,,,,TAP Air Portugal,TP,TAP,5548,TP5548,TAP5548,,sas,sk,sas,1471,sk1471,sas1471
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:55:00+00:00,2025-08-18T14:55:00+00:00,,,,Vienna International,Europe/Vienna,VIE,LOWW,3,,,2025-08-18T17:15:00+00:00,,,,,,Austrian,OS,AUA,336,OS336,AUA336,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:55:00+00:00,2025-08-18T14:55:00+00:00,,,,Vienna International,Europe/Vienna,VIE,LOWW,3,,,2025-08-18T17:15:00+00:00,,,,,,Croatia Airlines,OU,CTN,5553,OU5553,CTN5553,,austrian,os,aua,336,os336,aua336
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:45:00+00:00,2025-08-18T14:45:00+00:00,,,,"Bergen Airport, Flesland",Europe/Oslo,BGO,ENBR,,,,2025-08-18T15:40:00+00:00,,,,,,SAS,SK,SAS,269,SK269,SAS269,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:40:00+00:00,2025-08-18T14:40:00+00:00,,,,Linate,Europe/Rome,LIN,LIML,,,,2025-08-18T17:20:00+00:00,,,,,,easyJet,U2,EZY,1990,U21990,EZY1990,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:40:00+00:00,2025-08-18T14:40:00+00:00,,,,Værnes,Europe/Oslo,TRD,ENVA,,,,2025-08-18T15:35:00+00:00,,,,,,Norwegian,DY,NOZ,756,DY756,NOZ756,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:40:00+00:00,2025-08-18T14:40:00+00:00,,,,"Bergen Airport, Flesland",Europe/Oslo,BGO,ENBR,,,,2025-08-18T15:35:00+00:00,,,,,,Norwegian,DY,NOZ,616,DY616,NOZ616,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:35:00+00:00,2025-08-18T14:35:00+00:00,,,,Dortmund,Europe/Berlin,DTM,EDLW,,,,2025-08-18T16:10:00+00:00,,,,,,Star Wings,,STQ,444,,STQ444,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:35:00+00:00,2025-08-18T14:35:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2025-08-18T23:25:00+00:00,,,,,,Emirates,EK,UAE,160,EK160,UAE160,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:35:00+00:00,2025-08-18T14:35:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2025-08-18T23:25:00+00:00,,,,,,Qantas,QF,QFA,8160,QF8160,QFA8160,,emirates,ek,uae,160,ek160,uae160
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:35:00+00:00,2025-08-18T14:35:00+00:00,,,,Dubai,Asia/Dubai,DXB,OMDB,3,,,2025-08-18T23:25:00+00:00,,,,,,Icelandair,FI,ICE,6050,FI6050,ICE6050,,emirates,ek,uae,160,ek160,uae160
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:25:00+00:00,2025-08-18T14:25:00+00:00,,,,Værnes,Europe/Oslo,TRD,ENVA,,,,2025-08-18T15:20:00+00:00,,,,,,SAS,SK,SAS,354,SK354,SAS354,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:15:00+00:00,2025-08-18T14:15:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,,B16,,2025-08-18T16:05:00+00:00,,,,,,KLM,KL,KLM,1202,KL1202,KLM1202,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:10:00+00:00,2025-08-18T14:10:00+00:00,,,,Kvernberget,Europe/Oslo,KSU,ENKB,,,,2025-08-18T15:05:00+00:00,,,,,,SAS,SK,SAS,2303,SK2303,SAS2303,,,,,,,
2025-08-18,scheduled,,,Gardermoen,Europe/Oslo,OSL,ENGM,,,,2025-08-18T14:10:00+00:00,2025-08-18T14:10:00+00:00,,,,Haugesund,Europe/Oslo,HAU,ENHD,,,,2025-08-18T15:05:00+00:00,,,,,,SAS,SK,SAS,312,SK312,SAS312,,,,,,,
